what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859300203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859392136
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1373859405310
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1373859405457
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1373859405620
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1373859406127
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373859417271
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1373859427782
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1373859428058
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373859434481
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1373859439182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859448503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859630119
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373859633090
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859634711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859639877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1373859640005
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859646297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859819384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1373859819563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859823840
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859850913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859854938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859898048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373859900960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373860185723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373860187375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373860261699
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1373860262911
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373860294398
